class_name,landed_on,count
English springer,Welsh springer spaniel,57
cassette player,tape player,17
English springer,Brittany spaniel,12
chain saw,"lumbermill, sawmill",10
English springer,German short-haired pointer,8
church,monastery,7
English springer,Sussex spaniel,6
garbage truck,"thresher, thrasher, threshing machine",4
golf ball,ping-pong ball,4
tench,"goldfish, Carassius auratus",3
gas pump,"tobacco shop, tobacconist shop, tobacconist",3
parachute,balloon,3
garbage truck,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",3
church,palace,2
chain saw,"plow, plough",2
